rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
95,200,9,0.1,1.0,1.0,0.5,0.5,0.37278253064805644,0.7143080072914987
96,500,7,0.2,1.0,1.0,1.0,0.0,0.27623066210606956,0.7144069845032763
97,200,9,0.1,1.0,1.0,1.0,0.5,0.37847825038849214,0.7145801506875881
98,500,6,0.2,1.0,0.7,1.0,0.5,0.37039130103572715,0.7145831282389653
99,500,6,0.2,1.0,1.0,1.0,0.5,0.36235724331432845,0.7146139309216167
100,200,10,0.1,0.7,0.7,0.5,0.0,0.331222194756908,0.7147074502841113
101,200,9,0.1,1.0,0.7,0.5,0.0,0.3781440585578213,0.7147403063573654
102,500,7,0.2,1.0,0.7,1.0,0.0,0.2791044958872133,0.7148431480333467
103,200,9,0.1,0.7,0.7,1.0,0.5,0.38857645368618604,0.7148793470616973
104,200,10,0.1,0.7,0.7,1.0,0.0,0.3329539065140678,0.7149370996056242
105,500,7,0.1,0.7,1.0,1.0,0.5,0.38983688544087286,0.7149960247981598
106,200,9,0.2,1.0,1.0,0.5,0.5,0.26610659006039555,0.715558412975562
107,500,6,0.2,1.0,1.0,0.5,0.5,0.35848334232863355,0.7156275226673242
108,500,10,0.1,0.7,1.0,0.5,0.0,0.26149892697507643,0.7157475489155979
109,200,9,0.2,1.0,0.7,0.5,0.5,0.26766629995819785,0.7158739210035778
110,500,7,0.1,0.7,1.0,1.0,0.0,0.40138723050228686,0.7159398936536572
111,200,9,0.2,1.0,0.7,1.0,0.5,0.2728815306692255,0.7160363758094537
112,200,9,0.1,1.0,1.0,1.0,0.0,0.38266321438297596,0.7160577126685858
113,200,9,0.2,1.0,1.0,1.0,0.5,0.27020802687376916,0.7161601627159595
114,200,10,0.1,0.7,1.0,1.0,0.0,0.3339694328157577,0.7164558242832485
115,500,7,0.1,0.7,0.7,1.0,0.0,0.40409909871366695,0.7165402833764026
116,200,9,0.1,1.0,1.0,0.5,0.0,0.3755857781940873,0.716633689226331
117,200,9,0.1,0.7,0.7,0.5,0.5,0.3831875294320089,0.7167642994558944
118,200,10,0.2,1.0,1.0,1.0,0.5,0.23055908027175415,0.7173348959345248
119,200,10,0.2,1.0,0.7,0.5,0.5,0.2293466497440226,0.7174523774349719
120,500,7,0.1,0.7,1.0,0.5,0.0,0.40273706842627716,0.7174616397276802
121,500,7,0.2,1.0,1.0,0.5,0.0,0.2718710366619695,0.717473600161747
122,500,7,0.1,0.7,0.7,0.5,0.0,0.40315822186061145,0.7175275506789631
123,200,9,0.1,0.7,1.0,1.0,0.5,0.38450270165124006,0.7176884484593212
124,500,6,0.2,1.0,0.7,1.0,0.0,0.3712085136773944,0.7177123776641985
125,200,9,0.2,1.0,0.7,0.5,0.0,0.27178213955907793,0.7178843657475192
126,200,10,0.2,1.0,0.7,1.0,0.5,0.2329429105325248,0.7178891942349429
127,200,10,0.05,1.0,0.7,1.0,0.5,0.4158409288864839,0.717943964669069
128,500,6,0.2,1.0,0.7,0.5,0.5,0.36521753395144924,0.7179716711737115
129,200,10,0.1,0.7,1.0,0.5,0.0,0.3342626431919389,0.7181750492232102
130,200,9,0.2,1.0,1.0,1.0,0.0,0.27449466832449704,0.718297981045986
131,200,10,0.05,1.0,0.7,0.5,0.5,0.4135294526070943,0.7183514149985863
132,200,10,0.2,1.0,0.7,1.0,0.0,0.23307374274679019,0.718536765478361
133,200,10,0.05,1.0,0.7,0.5,0.0,0.40778114623668915,0.7186133772878507
134,200,10,0.05,1.0,0.7,1.0,0.0,0.4156014587723707,0.7187943330098451
135,500,9,0.2,1.0,0.7,1.0,0.5,0.208813428534794,0.718894234415144
136,500,6,0.2,1.0,1.0,1.0,0.0,0.36522865979040614,0.7190949973247559
137,500,9,0.2,1.0,1.0,1.0,0.5,0.20798110458947178,0.7191621639180523
138,500,9,0.2,1.0,0.7,0.5,0.5,0.2083880765520106,0.7192852397521261
139,200,9,0.1,0.7,1.0,0.5,0.5,0.38079678373321824,0.7193766063813716
140,500,6,0.2,1.0,1.0,0.5,0.0,0.36183715387891235,0.7194467352038556
141,500,9,0.2,1.0,1.0,0.5,0.5,0.20732349200315575,0.719460364191595
142,200,9,0.2,1.0,0.7,1.0,0.0,0.2761578687003129,0.7194740667488776
143,200,9,0.1,0.7,0.7,0.5,0.0,0.391422056252442,0.7195821027446653
144,200,9,0.1,0.7,1.0,1.0,0.0,0.3941473545210032,0.7198275284625364
145,200,10,0.2,1.0,1.0,0.5,0.5,0.22745573854277162,0.7198531839627036
146,200,9,0.2,1.0,1.0,0.5,0.0,0.2707176604575273,0.7200417071097742
147,200,10,0.05,0.7,0.7,1.0,0.5,0.4332620229612587,0.7200510726029112
148,500,6,0.2,1.0,0.7,0.5,0.0,0.3679834541217751,0.7200913317490769
149,200,10,0.2,1.0,1.0,1.0,0.0,0.23240130640235251,0.7202442211261647
150,200,10,0.05,0.7,1.0,0.5,0.5,0.4201182102668647,0.7202585797349159
151,200,9,0.1,0.7,0.7,1.0,0.0,0.3950485609915513,0.7206213699854838
152,200,10,0.05,0.7,0.7,1.0,0.0,0.4304699479377631,0.720923696690551
153,200,10,0.05,0.7,0.7,0.5,0.5,0.42498054471332586,0.7210436809215824
154,200,10,0.05,0.7,1.0,1.0,0.5,0.4288113836083596,0.7212590602580488
155,500,6,0.3,1.0,0.7,1.0,0.5,0.3064947386923111,0.7214862919988737
156,500,10,0.2,1.0,1.0,1.0,0.5,0.20368270255745793,0.7215703534474852
157,500,10,0.2,1.0,0.7,0.5,0.5,0.203880707134718,0.7217117775902053
158,500,9,0.2,1.0,0.7,0.5,0.0,0.20617896352674986,0.721787619817893
159,500,7,0.2,0.7,0.7,1.0,0.5,0.30917115762389386,0.7218929465713696
160,500,7,0.2,0.7,1.0,1.0,0.5,0.30795768836782667,0.7219359283776896
161,500,9,0.2,1.0,1.0,1.0,0.0,0.20693387853607112,0.7219845287837315
162,200,10,0.05,0.7,1.0,1.0,0.0,0.42861004159213834,0.7220165515250814
163,200,9,0.1,0.7,1.0,0.5,0.0,0.3900445474687747,0.7221153873529994
164,200,10,0.2,1.0,0.7,0.5,0.0,0.22894953883559577,0.7221453404874746
165,200,10,0.05,0.7,0.7,0.5,0.0,0.42589346303213027,0.722236531368632
166,500,10,0.2,1.0,0.7,1.0,0.5,0.2041128838380892,0.7224528999314935
167,500,6,0.3,1.0,1.0,1.0,0.5,0.2989641985388158,0.7227443954503248
168,500,6,0.3,1.0,0.7,0.5,0.5,0.3026129458171638,0.7228282835153218
169,200,10,0.05,1.0,1.0,1.0,0.0,0.4183858699135291,0.7230823526467568
170,500,9,0.2,1.0,0.7,1.0,0.0,0.20705913857795752,0.7231426435244152
171,200,10,0.05,1.0,1.0,0.5,0.5,0.4136569772927075,0.7231807016629217
172,500,7,0.2,0.7,1.0,0.5,0.5,0.3091688883438842,0.7233598449720775
173,500,10,0.2,1.0,0.7,1.0,0.0,0.2020178310172411,0.7234290511076256
174,200,10,0.05,0.7,1.0,0.5,0.0,0.4245207550314456,0.7237526275070939
175,500,9,0.2,1.0,1.0,0.5,0.0,0.2060463712488617,0.7237818029302149
176,500,10,0.2,1.0,1.0,0.5,0.5,0.20355090930053943,0.7239111580094664
177,500,6,0.3,1.0,1.0,0.5,0.5,0.2952047831127767,0.7241259914055823
178,200,10,0.05,1.0,1.0,1.0,0.5,0.42110125168843304,0.724307662347546
179,200,10,0.2,1.0,1.0,0.5,0.0,0.22861992047399632,0.7250431732598343
180,200,10,0.05,1.0,1.0,0.5,0.0,0.4104540393759418,0.7253357361615351
181,500,10,0.2,1.0,1.0,1.0,0.0,0.20198696030702562,0.725474972599582
182,500,7,0.3,1.0,1.0,1.0,0.5,0.2321944113529397,0.7257473205574044
183,500,7,0.3,1.0,0.7,0.5,0.5,0.23329226586527232,0.7259544829013123
184,200,7,0.2,1.0,1.0,1.0,0.5,0.4340179271981706,0.726174163985932
185,500,7,0.3,1.0,0.7,1.0,0.5,0.23585498490603082,0.7262119530527937
186,500,6,0.2,0.7,1.0,1.0,0.5,0.3832813890918489,0.7262544678932056
187,500,6,0.2,0.7,0.7,1.0,0.5,0.3888026076446069,0.7264071320409483
188,500,7,0.3,1.0,1.0,0.5,0.5,0.2300336138026745,0.7264289923791043
189,500,6,0.1,0.7,1.0,0.5,0.5,0.4853571068040795,0.726707337741298
190,500,6,0.1,1.0,1.0,0.5,0.5,0.4880597545768193,0.7267077358738414
191,500,6,0.3,1.0,0.7,1.0,0.0,0.3069158170469192,0.7268173595193336
192,500,10,0.2,1.0,0.7,0.5,0.0,0.2017522204015257,0.7270542587805247
193,200,7,0.2,1.0,0.7,1.0,0.5,0.4352045934587136,0.7271292822426731
194,200,9,0.2,0.7,1.0,1.0,0.5,0.2978326024416647,0.7275008863630912
195,500,6,0.1,1.0,0.7,0.5,0.5,0.4946691041121241,0.7275237344939901
