rank_test_score,param_n_neighbors,param_weights,param_p,param_metric,train_rmse,test_rmse
129,29,uniform,2,manhattan,0.7928893016814037,0.8262854438644894
129,29,uniform,1,manhattan,0.7928893016814037,0.8262854438644894
131,69,distance,2,euclidean,0.012254262801461755,0.8265462132614412
131,69,distance,1,euclidean,0.012254262801461755,0.8265462132614412
133,31,uniform,2,manhattan,0.7973661870636382,0.8273392992239309
133,31,uniform,1,minkowski,0.7973661870636382,0.8273392992239309
135,71,distance,1,euclidean,0.012254262867896559,0.8278800923692592
135,71,distance,2,euclidean,0.012254262867896559,0.8278800923692592
137,15,uniform,1,euclidean,0.7720075227595607,0.8293003689239786
138,73,distance,2,minkowski,0.012254262932140355,0.8293650142020572
139,39,distance,1,chebyshev,0.012254261193514002,0.8297793600260267
139,39,distance,2,chebyshev,0.012254261193514002,0.8297793600260267
141,33,uniform,1,minkowski,0.8030673695121539,0.8299360219548061
142,3,uniform,2,chebyshev,0.5628022260846032,0.8299818785025281
143,35,uniform,1,manhattan,0.8077884090711976,0.8313300005712995
143,35,uniform,1,minkowski,0.8077884090711976,0.8313300005712995
145,75,distance,2,minkowski,0.012254262997530239,0.8315009436067864
145,75,distance,1,euclidean,0.012254262997530239,0.8315009436067864
147,77,distance,2,minkowski,0.012254263062971824,0.8330002275251809
148,79,distance,2,euclidean,0.012254263131427946,0.834197851797159
149,43,distance,1,chebyshev,0.012254261193514002,0.8349364879851972
150,37,uniform,1,minkowski,0.8122251237339512,0.835202507612234
150,37,uniform,2,manhattan,0.8122251237339512,0.835202507612234
150,37,uniform,1,manhattan,0.8122251237339512,0.835202507612234
153,17,uniform,2,minkowski,0.7840728600814589,0.8365438867605337
153,17,uniform,2,euclidean,0.7840728600814589,0.8365438867605337
153,17,uniform,1,euclidean,0.7840728600814589,0.8365438867605337
156,45,distance,1,chebyshev,0.012254261193514002,0.8373372009405118
156,45,distance,2,chebyshev,0.012254261193514002,0.8373372009405118
158,83,distance,2,euclidean,0.012254263270145652,0.837596972074068
158,83,distance,2,minkowski,0.012254263270145652,0.837596972074068
160,85,distance,1,euclidean,0.012254263338433822,0.8389698390448335
160,85,distance,2,euclidean,0.012254263338433822,0.8389698390448335
162,47,distance,2,chebyshev,0.012254261193514002,0.8392048371534754
162,47,distance,1,chebyshev,0.012254261193514002,0.8392048371534754
164,49,distance,1,chebyshev,0.012254261193514002,0.8411961916367171
164,49,distance,2,chebyshev,0.012254261193514002,0.8411961916367171
166,45,uniform,1,minkowski,0.8264071236296382,0.8437950099249063
167,21,uniform,2,minkowski,0.8033991401376259,0.8442006602772254
168,93,distance,2,minkowski,0.012254263602956676,0.844835638196984
168,93,distance,1,euclidean,0.012254263602956676,0.844835638196984
170,13,uniform,1,chebyshev,0.7722288312161598,0.8449092853450688
171,53,distance,2,chebyshev,0.012254261193514002,0.8457369464282926
171,53,distance,1,chebyshev,0.012254261193514002,0.8457369464282926
173,47,uniform,2,manhattan,0.8290620183652392,0.8461424668182108
174,23,uniform,2,euclidean,0.811311195744307,0.8472276854102126
174,23,uniform,2,minkowski,0.811311195744307,0.8472276854102126
176,55,distance,2,chebyshev,0.012254261193514002,0.847291157499986
177,97,distance,2,minkowski,0.012254263744082847,0.8479895226422756
178,49,uniform,2,manhattan,0.832039211691094,0.8485404271165838
179,99,distance,1,euclidean,0.01225426381580102,0.8495494884533545
180,51,uniform,1,manhattan,0.8341049550637418,0.8505185315481545
180,51,uniform,2,manhattan,0.8341049550637418,0.8505185315481545
182,59,distance,2,chebyshev,0.012254261193514002,0.8509841921271124
183,53,uniform,1,manhattan,0.8367653398690019,0.8518838431800172
184,55,uniform,1,manhattan,0.8383889524465016,0.852972316081961
184,55,uniform,2,manhattan,0.8383889524465016,0.852972316081961
186,57,uniform,1,minkowski,0.8405955004381672,0.8539651165007576
186,57,uniform,2,manhattan,0.8405955004381672,0.8539651165007576
188,25,uniform,1,euclidean,0.8178902063980626,0.8550404503902201
189,63,distance,2,chebyshev,0.012254261193514002,0.8556130464652179
190,61,uniform,1,minkowski,0.8436361823588917,0.8568006406119624
190,61,uniform,2,manhattan,0.8436361823588917,0.8568006406119624
192,17,uniform,2,chebyshev,0.8030197668963017,0.8569584077418455
192,17,uniform,1,chebyshev,0.8030197668963017,0.8569584077418455
194,65,distance,2,chebyshev,0.012254261193514002,0.8577994564573388
195,67,uniform,2,manhattan,0.8482056746061132,0.8600965055024964
196,69,uniform,1,manhattan,0.8494224041069349,0.8603061662680558
196,69,uniform,1,minkowski,0.8494224041069349,0.8603061662680558
198,71,uniform,2,manhattan,0.850703124055121,0.8606905847190505
198,71,uniform,1,manhattan,0.850703124055121,0.8606905847190505
200,75,uniform,2,manhattan,0.8525110471679916,0.8610207113925294
200,75,uniform,1,manhattan,0.8525110471679916,0.8610207113925294
202,67,distance,1,chebyshev,0.012254261193514002,0.8610808089055518
202,67,distance,2,chebyshev,0.012254261193514002,0.8610808089055518
204,73,uniform,1,minkowski,0.8517858117103457,0.8611858562616606
204,73,uniform,1,manhattan,0.8517858117103457,0.8611858562616606
204,73,uniform,2,manhattan,0.8517858117103457,0.8611858562616606
207,29,uniform,2,euclidean,0.8310397758567468,0.862207035017222
208,69,distance,1,chebyshev,0.012254261193514002,0.8630909314738436
208,69,distance,2,chebyshev,0.012254261193514002,0.8630909314738436
210,79,uniform,1,minkowski,0.854779354072285,0.863278363154353
210,79,uniform,2,manhattan,0.854779354072285,0.863278363154353
212,31,uniform,1,euclidean,0.8363480236321872,0.8636314567402118
213,81,uniform,1,manhattan,0.8560529425199754,0.8646676308091156
214,33,uniform,1,euclidean,0.8402304612253172,0.8656558468586057
215,19,uniform,1,chebyshev,0.8156214572723997,0.86639457805571
215,19,uniform,2,chebyshev,0.8156214572723997,0.86639457805571
217,73,distance,1,chebyshev,0.012254261193514002,0.8664658292816562
217,73,distance,2,chebyshev,0.012254261193514002,0.8664658292816562
219,85,uniform,1,manhattan,0.8582769150390106,0.8680250994597634
219,85,uniform,2,manhattan,0.8582769150390106,0.8680250994597634
219,85,uniform,1,minkowski,0.8582769150390106,0.8680250994597634
222,75,distance,2,chebyshev,0.012254261193514002,0.8682119854832498
223,35,uniform,2,euclidean,0.8445648704422397,0.8684354970866305
224,37,uniform,2,euclidean,0.8487497920060075,0.8716851368385949
225,91,uniform,1,minkowski,0.8626615274195373,0.8721197693494888
226,79,distance,1,chebyshev,0.012254261193514002,0.8725934416124158
227,95,uniform,2,manhattan,0.8652763320377157,0.8740877198421642
228,21,uniform,1,chebyshev,0.8274119600728911,0.8746870023467658
229,39,uniform,2,euclidean,0.8530999273548704,0.874975730250839
229,39,uniform,1,euclidean,0.8530999273548704,0.874975730250839
229,39,uniform,2,minkowski,0.8530999273548704,0.874975730250839
232,81,distance,1,chebyshev,0.012254261193514002,0.8751230146322788
233,99,uniform,1,manhattan,0.8675115197317805,0.8755928748363802
233,99,uniform,1,minkowski,0.8675115197317805,0.8755928748363802
235,41,uniform,2,euclidean,0.8563549291698608,0.8756818581036527
235,41,uniform,1,euclidean,0.8563549291698608,0.8756818581036527
237,43,uniform,2,euclidean,0.8590283096270532,0.8781514505602062
238,45,uniform,2,euclidean,0.8612120615452015,0.8786928913876907
238,45,uniform,1,euclidean,0.8612120615452015,0.8786928913876907
240,85,distance,2,chebyshev,0.012254261193514002,0.8792119370426769
241,23,uniform,2,chebyshev,0.8362053905467142,0.8808466875610175
241,23,uniform,1,chebyshev,0.8362053905467142,0.8808466875610175
243,47,uniform,2,euclidean,0.864431746214243,0.8808624075933953
244,49,uniform,1,euclidean,0.8665018417432363,0.8829955117048196
244,49,uniform,2,minkowski,0.8665018417432363,0.8829955117048196
246,25,uniform,1,chebyshev,0.8445304881405724,0.8885036708477383
247,95,distance,2,chebyshev,0.012254261193514002,0.8886270852515675
248,55,uniform,1,euclidean,0.8748255949817854,0.8905050936378603
249,97,distance,2,chebyshev,0.012254261193514002,0.8908340071776012
249,97,distance,1,chebyshev,0.012254261193514002,0.8908340071776012
251,27,uniform,2,chebyshev,0.8542969640196866,0.8914160745845862
251,27,uniform,1,chebyshev,0.8542969640196866,0.8914160745845862
253,99,distance,1,chebyshev,0.012254261193514002,0.8920484068224107
254,57,uniform,2,euclidean,0.8779811041120656,0.8931556715373492
254,57,uniform,1,euclidean,0.8779811041120656,0.8931556715373492
256,59,uniform,2,euclidean,0.8805532219441655,0.8954564271525743
257,29,uniform,1,chebyshev,0.8631046450136565,0.8957248109780125
257,29,uniform,2,chebyshev,0.8631046450136565,0.8957248109780125
259,61,uniform,2,minkowski,0.8832071954368167,0.8977091009941081
259,61,uniform,2,euclidean,0.8832071954368167,0.8977091009941081
261,31,uniform,1,chebyshev,0.8700835385080556,0.8993129597996642
262,63,uniform,1,euclidean,0.8856317295594749,0.8995618930914386
263,67,uniform,2,minkowski,0.889649681069936,0.9029366145155611
264,69,uniform,1,euclidean,0.8920581052238227,0.9051963255065838
265,71,uniform,1,euclidean,0.8945081833694484,0.9065892187255737
266,73,uniform,1,euclidean,0.8967923664078353,0.9083609860567416
267,75,uniform,2,minkowski,0.8986635892154248,0.9108032633125761
268,77,uniform,1,euclidean,0.9007547402451739,0.9124720057950958
269,81,uniform,2,euclidean,0.9047306975978424,0.9159022916777667
269,81,uniform,2,minkowski,0.9047306975978424,0.9159022916777667
271,39,uniform,1,chebyshev,0.89399020697221,0.917200152102133
272,83,uniform,2,minkowski,0.9066638555534099,0.9174666965107537
273,85,uniform,1,euclidean,0.908344551324618,0.9187378124700146
274,41,uniform,2,chebyshev,0.8970864850773691,0.9196975210946411
275,87,uniform,1,euclidean,0.9099215783324676,0.9205221531817184
276,89,uniform,2,euclidean,0.9109972859113415,0.9220481142595317
276,89,uniform,2,minkowski,0.9109972859113415,0.9220481142595317
278,91,uniform,1,euclidean,0.9121270971022364,0.9232233383023669
279,45,uniform,2,chebyshev,0.9031101600806333,0.9235094724786833
280,93,uniform,2,minkowski,0.9135676836530443,0.9241792439232062
280,93,uniform,2,euclidean,0.9135676836530443,0.9241792439232062
282,47,uniform,2,chebyshev,0.9062723411533052,0.9250416481047777
283,49,uniform,2,chebyshev,0.908913388930368,0.9271072763866036
284,97,uniform,2,minkowski,0.9170193630585834,0.9273065796773895
285,99,uniform,1,euclidean,0.9185147391906272,0.9288864591772221
286,59,uniform,2,chebyshev,0.9198149940727869,0.9359023995795893
287,63,uniform,2,chebyshev,0.9255024727215291,0.9405391380765619
288,65,uniform,1,chebyshev,0.9284924958200068,0.9428481418823648
288,65,uniform,2,chebyshev,0.9284924958200068,0.9428481418823648
290,67,uniform,2,chebyshev,0.9308562825707506,0.9467008070713672
291,71,uniform,2,chebyshev,0.9360086516888058,0.9505752341363243
292,73,uniform,2,chebyshev,0.9380801499317927,0.9521794167454446
293,75,uniform,1,chebyshev,0.9405124959067467,0.9540076079310097
294,79,uniform,1,chebyshev,0.9461080447319086,0.9590973050990936
295,85,uniform,2,chebyshev,0.9550679102798638,0.9677520404105758
296,91,uniform,2,chebyshev,0.9630661799599115,0.9754251995169583
296,91,uniform,1,chebyshev,0.9630661799599115,0.9754251995169583
298,93,uniform,1,chebyshev,0.965599724558702,0.9774109859176896
299,95,uniform,1,chebyshev,0.9681193654222385,0.9798174791705236
300,99,uniform,1,chebyshev,0.9728940264917958,0.9839231189223452
