rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,train_rmse,test_rmse
291,200,5,5,2,1,1.0249033499766176,1.0340790379242544
292,200,5,8,2,1,1.0255320629863476,1.0342542097952367
293,300,5,2,3,1,1.0310524486021722,1.0390247269124089
294,500,5,8,3,1,1.0306559469659637,1.0394982496342404
295,500,5,5,3,1,1.0319016529018135,1.0403818143510992
296,200,5,2,3,1,1.035098605298773,1.0427822897472807
296,200,5,5,3,1,1.0350986052987732,1.0427822897472807
298,200,5,8,3,1,1.0357075855137186,1.0441966391788147
299,200,5,2,4,1,1.0483124656433045,1.0553033547294135
299,200,5,8,4,1,1.0483124656433043,1.0553033547294135
