rank_test_score,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,train_rmse,test_rmse
115,300,10,4,1,sqrt,0.3166276120993774,0.5129816448546011
117,500,10,4,3,0.25,0.32403070271474443,0.5130760646705824
117,500,10,6,3,0.25,0.32403070271474443,0.5130760646705824
116,500,10,2,3,0.25,0.32403070271474443,0.5130760646705824
119,300,,2,3,log2,0.3179895397519153,0.5130796728454229
119,300,,6,3,log2,0.31798953975191524,0.5130796728454229
121,300,,4,3,log2,0.31798953975191524,0.5130796728454229
122,300,10,4,3,0.25,0.3246607207654341,0.5132965416148354
122,300,10,2,3,0.25,0.3246607207654341,0.5132965416148354
122,300,10,6,3,0.25,0.3246607207654341,0.5132965416148354
126,500,,4,3,log2,0.3177637758115014,0.5133376039738446
126,500,,2,3,log2,0.3177637758115014,0.5133376039738446
125,500,,6,3,log2,0.3177637758115014,0.5133376039738446
128,500,10,4,4,0.5,0.3286941343558836,0.5133792620921023
128,500,10,6,4,0.5,0.3286941343558837,0.5133792620921023
128,500,10,2,4,0.5,0.3286941343558837,0.5133792620921023
131,300,10,6,4,0.5,0.32845352875508926,0.5136678729702882
131,300,10,4,4,0.5,0.32845352875508926,0.5136678729702882
133,300,10,2,4,0.5,0.32845352875508926,0.5136678729702883
134,500,10,4,1,sqrt,0.31686848065522627,0.5136870524546345
136,300,,6,4,sqrt,0.3386751138918758,0.5170344035536368
135,300,,2,4,sqrt,0.3386751138918758,0.5170344035536368
137,300,,4,4,sqrt,0.3386751138918758,0.517034403553637
138,500,,6,4,sqrt,0.338878791943813,0.5172996052292693
139,500,,4,4,sqrt,0.33887879194381304,0.5172996052292694
139,500,,2,4,sqrt,0.338878791943813,0.5172996052292694
141,300,10,6,1,sqrt,0.3305282243459929,0.5182749160922072
142,500,10,6,1,sqrt,0.3303078422276739,0.5186712684779892
143,300,10,2,2,sqrt,0.33317787430289675,0.5189608533201818
143,300,10,4,2,sqrt,0.3331778743028968,0.5189608533201818
145,500,10,2,2,sqrt,0.33262335317575853,0.5191141240208118
146,500,10,4,2,sqrt,0.33262335317575853,0.5191141240208119
147,300,10,6,4,0.25,0.34516933144336653,0.5194715492209785
148,300,10,4,4,0.25,0.34516933144336653,0.5194715492209786
148,300,10,2,4,0.25,0.34516933144336653,0.5194715492209786
151,500,10,2,4,0.25,0.34502276016697125,0.5195092855877209
150,500,10,6,4,0.25,0.3450227601669713,0.5195092855877209
