rank_test_score,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,train_rmse,test_rmse
439,500,7,2,2,1,0.6763342319678584,0.7310064059686892
441,300,7,2,2,1,0.6769139267635473,0.7312857527763555
441,300,7,4,2,1,0.6769139267635473,0.7312857527763555
443,500,7,6,2,1,0.6784964859897532,0.7321443773899947
444,300,7,6,2,1,0.6787823112938492,0.732499477482235
445,300,7,6,3,1,0.6904542640446427,0.7397140199300111
446,300,7,2,3,1,0.6904542640446427,0.7397140199300112
446,300,7,4,3,1,0.6904542640446427,0.7397140199300112
448,500,7,2,3,1,0.6912168912455,0.7397871424005176
449,500,7,4,3,1,0.6912168912455,0.7397871424005177
449,500,7,6,3,1,0.6912168912455,0.7397871424005177
451,500,7,6,4,1,0.7007165262798907,0.7456755270780658
451,500,7,4,4,1,0.7007165262798909,0.7456755270780658
451,500,7,2,4,1,0.7007165262798908,0.7456755270780658
455,300,7,6,4,1,0.7003071428372825,0.7458296906926546
455,300,7,4,4,1,0.7003071428372825,0.7458296906926546
454,300,7,2,4,1,0.7003071428372825,0.7458296906926546
457,500,5,2,1,1,0.7830067691970027,0.8127845438299048
458,500,5,4,1,1,0.7837506728945401,0.8132581861676499
459,500,5,6,1,1,0.7845294788576999,0.813510157748832
460,300,5,4,1,1,0.7845452588550214,0.8145253324780873
461,300,5,2,1,1,0.7849294312130506,0.8146195374517055
462,300,5,6,1,1,0.7858418279519374,0.8148448242597686
463,500,5,6,2,1,0.7948936314229949,0.821608793510836
464,500,5,4,2,1,0.7947943921515901,0.8217846971885189
465,500,5,2,2,1,0.7947943921515901,0.821784697188519
466,300,5,4,2,1,0.7945558616987008,0.8219541172695431
466,300,5,2,2,1,0.794555861698701,0.8219541172695431
468,300,5,6,2,1,0.7952145122823556,0.8219753716867978
469,500,5,4,3,1,0.7995096658106273,0.8248891926192183
469,500,5,6,3,1,0.7995096658106273,0.8248891926192183
469,500,5,2,3,1,0.7995096658106273,0.8248891926192183
472,300,5,2,3,1,0.7999450641651069,0.8254349260020982
473,300,5,4,3,1,0.7999450641651069,0.8254349260020983
474,300,5,6,3,1,0.7999450641651068,0.8254349260020984
475,300,5,6,4,1,0.8024659426512847,0.8265066872213005
477,300,5,2,4,1,0.8024659426512847,0.8265066872213005
475,300,5,4,4,1,0.8024659426512847,0.8265066872213005
478,500,5,6,4,1,0.8023570484320818,0.8268549191300837
478,500,5,4,4,1,0.8023570484320819,0.8268549191300837
478,500,5,2,4,1,0.8023570484320819,0.8268549191300837
