rank_test_score,param_knn__n_neighbors,param_knn__weights,param_knn__p,param_knn__metric,train_rmse,test_rmse
351,75,distance,2,euclidean,0.01225426124742935,0.7932469446218188
354,41,uniform,2,manhattan,0.7754965953781289,0.793261587270762
354,41,uniform,1,minkowski,0.7754965953781289,0.793261587270762
354,41,uniform,1,manhattan,0.7754965953781289,0.793261587270762
357,27,uniform,2,minkowski,0.7623767405924748,0.7933047572939438
357,27,uniform,2,euclidean,0.7623767405924748,0.7933047572939438
357,27,uniform,1,euclidean,0.7623767405924748,0.7933047572939438
360,77,distance,2,euclidean,0.012254261250006122,0.7949319407729896
360,77,distance,2,minkowski,0.012254261250006122,0.7949319407729896
360,77,distance,1,euclidean,0.012254261250006122,0.7949319407729896
363,43,uniform,2,manhattan,0.7777476580061989,0.7949647472892205
363,43,uniform,1,manhattan,0.7777476580061989,0.7949647472892205
363,43,uniform,1,minkowski,0.7777476580061989,0.7949647472892205
366,29,uniform,1,euclidean,0.7666318337324638,0.7952274393797738
366,29,uniform,2,minkowski,0.7666318337324638,0.7952274393797738
366,29,uniform,2,euclidean,0.7666318337324638,0.7952274393797738
369,79,distance,2,euclidean,0.012254261252616765,0.7967788504860961
369,79,distance,2,minkowski,0.012254261252616765,0.7967788504860961
369,79,distance,1,euclidean,0.012254261252616765,0.7967788504860961
372,45,uniform,1,minkowski,0.7805434154327033,0.7970763483247502
372,45,uniform,2,manhattan,0.7805434154327033,0.7970763483247502
372,45,uniform,1,manhattan,0.7805434154327033,0.7970763483247502
375,31,uniform,2,minkowski,0.7718471065677637,0.7976618745967573
375,31,uniform,2,euclidean,0.7718471065677637,0.7976618745967573
375,31,uniform,1,euclidean,0.7718471065677637,0.7976618745967573
378,7,distance,2,chebyshev,0.012254261193514002,0.7980208990570498
378,7,distance,1,chebyshev,0.012254261193514002,0.7980208990570498
380,81,distance,2,minkowski,0.012254261255277827,0.79831572804628
380,81,distance,2,euclidean,0.012254261255277827,0.79831572804628
380,81,distance,1,euclidean,0.012254261255277827,0.79831572804628
383,47,uniform,2,manhattan,0.7829755916079025,0.7988863285447917
383,47,uniform,1,manhattan,0.7829755916079025,0.7988863285447917
383,47,uniform,1,minkowski,0.7829755916079025,0.7988863285447917
386,83,distance,2,minkowski,0.012254261258037509,0.8002587931958338
386,83,distance,1,euclidean,0.012254261258037509,0.8002587931958338
386,83,distance,2,euclidean,0.012254261258037509,0.8002587931958338
389,3,distance,2,chebyshev,0.012254261193514002,0.8005916314120679
389,3,distance,1,chebyshev,0.012254261193514002,0.8005916314120679
391,49,uniform,2,manhattan,0.784975348172411,0.800713670565588
391,49,uniform,1,minkowski,0.784975348172411,0.800713670565588
391,49,uniform,1,manhattan,0.784975348172411,0.800713670565588
394,33,uniform,2,euclidean,0.776535792132456,0.8008414851491638
394,33,uniform,1,euclidean,0.776535792132456,0.8008414851491638
394,33,uniform,2,minkowski,0.776535792132456,0.8008414851491638
397,85,distance,1,euclidean,0.012254261260821851,0.8011874870328887
397,85,distance,2,euclidean,0.012254261260821851,0.8011874870328887
397,85,distance,2,minkowski,0.012254261260821851,0.8011874870328887
400,51,uniform,1,minkowski,0.7870877509244298,0.8025496417716068
400,51,uniform,2,manhattan,0.7870877509244298,0.8025496417716068
400,51,uniform,1,manhattan,0.7870877509244298,0.8025496417716068
403,87,distance,2,euclidean,0.012254261263699016,0.8029769524287107
403,87,distance,2,minkowski,0.012254261263699016,0.8029769524287107
403,87,distance,1,euclidean,0.012254261263699016,0.8029769524287107
406,9,distance,2,chebyshev,0.012254261193514002,0.8033839286110244
406,9,distance,1,chebyshev,0.012254261193514002,0.8033839286110244
408,35,uniform,2,minkowski,0.7800374594815004,0.8034897745197433
408,35,uniform,1,euclidean,0.7800374594815004,0.8034897745197433
408,35,uniform,2,euclidean,0.7800374594815004,0.8034897745197433
411,53,uniform,1,manhattan,0.7886436678333788,0.8040485248087039
411,53,uniform,2,manhattan,0.7886436678333788,0.8040485248087039
411,53,uniform,1,minkowski,0.7886436678333788,0.8040485248087039
414,89,distance,2,minkowski,0.012254261266558692,0.8045344320868786
414,89,distance,2,euclidean,0.012254261266558692,0.8045344320868786
414,89,distance,1,euclidean,0.012254261266558692,0.8045344320868786
