rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
119,0.2,9,300,0.7,1.0,0.3,0.1,0.0869643695957658,0.4534379413159508
119,0.2,9,300,1.0,1.0,0.3,0.1,0.0869643695957658,0.4534379413159508
121,0.1,-1,300,0.7,1.0,0.3,0.0,0.10459847831049307,0.4534633590679699
121,0.1,-1,300,1.0,1.0,0.3,0.0,0.10459847831049307,0.4534633590679699
123,0.05,-1,300,1.0,0.7,0.1,0.3,0.16062914312365378,0.4534833616324266
123,0.05,-1,300,0.7,0.7,0.1,0.3,0.16062914312365378,0.4534833616324266
125,0.1,-1,300,1.0,0.7,0.3,0.3,0.10798457269807962,0.4535121438616648
125,0.1,-1,300,0.7,0.7,0.3,0.3,0.10798457269807962,0.4535121438616648
127,0.1,7,300,1.0,0.7,0.1,0.0,0.13445970526253048,0.45355794338908434
127,0.1,7,300,0.7,0.7,0.1,0.0,0.13445970526253048,0.45355794338908434
129,0.05,-1,300,0.7,0.7,0.0,0.0,0.15945948846786315,0.453613240264683
129,0.05,-1,300,1.0,0.7,0.0,0.0,0.15945948846786315,0.453613240264683
131,0.2,9,200,1.0,1.0,0.3,0.1,0.09671916879961238,0.4536846781055512
131,0.2,9,200,0.7,1.0,0.3,0.1,0.09671916879961238,0.4536846781055512
133,0.1,7,200,1.0,0.7,0.0,0.3,0.1756704987402034,0.45370947337198786
133,0.1,7,200,0.7,0.7,0.0,0.3,0.1756704987402034,0.45370947337198786
135,0.1,7,300,1.0,0.7,0.1,0.3,0.13466321955833824,0.45374129814884273
135,0.1,7,300,0.7,0.7,0.1,0.3,0.13466321955833824,0.45374129814884273
137,0.1,7,300,1.0,1.0,0.3,0.1,0.12484319261464047,0.4537903438075103
137,0.1,7,300,0.7,1.0,0.3,0.1,0.12484319261464047,0.4537903438075103
139,0.05,-1,300,0.7,0.7,0.1,0.1,0.1597700813325516,0.4539109451509778
139,0.05,-1,300,1.0,0.7,0.1,0.1,0.1597700813325516,0.4539109451509778
141,0.1,9,200,0.7,0.7,0.3,0.1,0.1475761283782073,0.45392147131868893
141,0.1,9,200,1.0,0.7,0.3,0.1,0.1475761283782073,0.45392147131868893
143,0.1,9,200,0.7,1.0,0.0,0.1,0.14985001989430002,0.4539611877713616
143,0.1,9,200,1.0,1.0,0.0,0.1,0.14985001989430002,0.4539611877713616
145,0.05,-1,300,1.0,1.0,0.1,0.0,0.15618598571006898,0.454053662817657
145,0.05,-1,300,0.7,1.0,0.1,0.0,0.15618598571006898,0.454053662817657
147,0.1,7,300,0.7,1.0,0.0,0.0,0.13541992009823614,0.4541391751720523
147,0.1,7,300,1.0,1.0,0.0,0.0,0.13541992009823614,0.4541391751720523
149,0.1,9,300,1.0,0.7,0.1,0.1,0.11622675530754417,0.4541583393115439
149,0.1,9,300,0.7,0.7,0.1,0.1,0.11622675530754417,0.4541583393115439
151,0.1,9,300,0.7,0.7,0.1,0.0,0.11711320714227588,0.45417578259265506
151,0.1,9,300,1.0,0.7,0.1,0.0,0.11711320714227588,0.45417578259265506
153,0.1,-1,300,0.7,1.0,0.0,0.0,0.10296985468858558,0.4543326024669689
153,0.1,-1,300,1.0,1.0,0.0,0.0,0.10296985468858558,0.4543326024669689
155,0.1,-1,200,0.7,1.0,0.1,0.1,0.1302028368664143,0.45449771500626773
155,0.1,-1,200,1.0,1.0,0.1,0.1,0.1302028368664143,0.45449771500626773
157,0.1,7,200,1.0,0.7,0.0,0.0,0.1740842111504479,0.454618304572916
157,0.1,7,200,0.7,0.7,0.0,0.0,0.1740842111504479,0.454618304572916
159,0.1,9,300,1.0,1.0,0.3,0.0,0.11155945983090891,0.454675235118429
159,0.1,9,300,0.7,1.0,0.3,0.0,0.11155945983090891,0.454675235118429
161,0.1,9,200,0.7,0.7,0.0,0.0,0.15449028595432235,0.4546981860132709
161,0.1,9,200,1.0,0.7,0.0,0.0,0.15449028595432235,0.4546981860132709
163,0.1,9,200,1.0,0.7,0.1,0.3,0.15313557547099818,0.45478035397110017
163,0.1,9,200,0.7,0.7,0.1,0.3,0.15313557547099818,0.45478035397110017
