rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
54,200,9,0.1,1.0,1.0,0.5,0.5,0.2937147864906549,0.6516649750872046
55,200,9,0.1,1.0,1.0,1.0,0.0,0.30104909643914096,0.6517895237831515
56,500,7,0.05,0.7,1.0,1.0,0.0,0.3935517854739185,0.6518786755859455
57,200,10,0.05,0.7,0.7,1.0,0.0,0.3447018768770948,0.6520365518659048
58,500,10,0.05,0.7,0.7,1.0,0.0,0.28091188659518845,0.6520499763629767
59,500,6,0.1,1.0,1.0,0.5,0.0,0.3671597861285606,0.6520790308551401
60,200,9,0.05,1.0,0.7,0.5,0.5,0.3783826266634968,0.65210873525688
61,500,9,0.05,0.7,1.0,0.5,0.0,0.30374264304585136,0.6521899475913382
62,500,7,0.1,0.7,0.7,1.0,0.5,0.31848298127473157,0.6522679333498725
63,500,6,0.1,0.7,0.7,1.0,0.5,0.3779615197602544,0.6523616716424163
64,500,7,0.1,0.7,0.7,0.5,0.5,0.31871018433114445,0.652364012036647
65,500,7,0.05,0.7,0.7,0.5,0.0,0.39506881844581,0.6523740380847544
66,500,7,0.05,1.0,1.0,0.5,0.0,0.3908989418545281,0.6524350946095702
67,200,10,0.05,0.7,1.0,1.0,0.5,0.3427333433066361,0.6525032221948047
68,200,10,0.1,1.0,0.7,1.0,0.5,0.2668243224441975,0.6525643478027909
69,200,9,0.05,1.0,0.7,1.0,0.5,0.3867655485307584,0.6527436031653444
70,200,7,0.2,1.0,0.7,1.0,0.5,0.329137626809992,0.6528504015624634
71,500,7,0.1,0.7,1.0,1.0,0.5,0.31669688006128327,0.6529382778902499
72,200,10,0.05,0.7,0.7,0.5,0.5,0.3401605364753442,0.652979294743413
73,500,6,0.1,0.7,1.0,0.5,0.5,0.37269351696147707,0.6531142559284782
74,200,10,0.05,0.7,1.0,0.5,0.5,0.33781794586035246,0.6531221353832433
75,500,10,0.05,1.0,0.7,1.0,0.0,0.2553278245512894,0.6531456336804818
76,500,7,0.05,1.0,1.0,1.0,0.0,0.39495938828625693,0.6532815320925744
77,200,9,0.05,1.0,0.7,0.5,0.0,0.3736018859420764,0.6533414064388936
78,500,7,0.05,0.7,1.0,0.5,0.0,0.3927462386273479,0.6533442274154957
79,200,10,0.05,1.0,1.0,1.0,0.5,0.3341683468798974,0.6534734550225454
80,500,7,0.05,0.7,0.7,1.0,0.0,0.39724024109688144,0.6535262432144088
81,200,10,0.05,1.0,1.0,1.0,0.0,0.324350856557794,0.6535851850692713
82,200,10,0.05,1.0,1.0,0.5,0.5,0.32551720223687497,0.6536059653611165
83,200,10,0.1,1.0,0.7,0.5,0.5,0.2643701214675471,0.6536733054866715
84,200,10,0.1,1.0,0.7,1.0,0.0,0.2669250511167258,0.653822706142281
85,200,10,0.05,0.7,0.7,0.5,0.0,0.3406330190095526,0.6538287208081482
86,500,10,0.05,0.7,1.0,1.0,0.5,0.2737431025922429,0.6539206422381695
87,200,9,0.1,0.7,0.7,1.0,0.5,0.3162000181660127,0.6539495358578733
88,500,6,0.1,0.7,1.0,1.0,0.5,0.3731585599438437,0.6540317527197492
89,500,10,0.05,0.7,0.7,0.5,0.5,0.27343181725435683,0.6540514009166841
90,500,10,0.05,0.7,1.0,0.5,0.5,0.2735149635242728,0.6541188364299335
91,200,9,0.05,1.0,0.7,1.0,0.0,0.38282243708291935,0.654130546844371
92,500,10,0.05,1.0,0.7,0.5,0.0,0.2524905106400845,0.6541494434900931
93,500,10,0.05,0.7,0.7,0.5,0.0,0.2813500176078783,0.6542194819580254
94,500,6,0.2,1.0,0.7,1.0,0.5,0.28471558612543657,0.6543153418623927
95,200,10,0.05,0.7,1.0,0.5,0.0,0.3392741832741677,0.6543371964473481
96,500,7,0.1,0.7,0.7,0.5,0.0,0.32736322488142466,0.6544025755147946
97,200,10,0.05,0.7,1.0,1.0,0.0,0.34352007030501525,0.6544229371583941
