rank_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_max_features,train_rmse,test_rmse
33,300,10,0.2,sqrt,0.21083864191400292,0.7332312628406407
34,300,7,0.1,0.25,0.5036712283027216,0.7342263434634877
35,500,10,0.1,1,0.34684865677803267,0.7342656516921007
36,300,7,0.2,log2,0.4303623303570333,0.7378354896341186
37,500,10,0.01,0.25,0.5259270783897914,0.7440890920183486
38,500,5,0.2,0.5,0.49487431666243464,0.7443160410252353
39,300,7,0.1,sqrt,0.5289012089507978,0.7447252699942971
40,300,10,0.1,1,0.43864457528599093,0.7495640780462252
41,500,7,0.05,log2,0.5783359138761474,0.7567482245843943
42,200,10,0.2,1,0.3888117951510799,0.7568420369715473
43,500,5,0.2,log2,0.5797455987971946,0.7639220010484832
44,300,5,0.2,0.5,0.5893462037368009,0.7669296984024696
45,300,5,0.2,0.25,0.603052761468025,0.7676358020887091
46,200,7,0.1,sqrt,0.5996676338546965,0.767824863067385
47,200,10,0.1,1,0.5168235663687432,0.7689798310114495
48,300,7,0.05,0.25,0.6242562737890072,0.770095207109427
49,500,7,0.2,1,0.5423472700782378,0.7713010176814417
50,500,10,0.01,log2,0.590624848316708,0.7727396199319786
51,200,7,0.1,log2,0.6211961434807884,0.7771028753549979
52,500,4,0.2,0.25,0.6422906961798296,0.7795301936728621
53,300,5,0.2,sqrt,0.6389254093924546,0.7819967543846267
54,500,5,0.1,sqrt,0.6590055863210894,0.7826839169100188
55,300,10,0.05,1,0.5771821636261245,0.7840420830401997
56,300,10,0.01,0.25,0.6324325441041746,0.7853144573562285
57,200,7,0.05,0.5,0.6739117980595518,0.7904879981961971
58,300,7,0.05,log2,0.6644575439125996,0.7907870848891702
59,300,5,0.2,log2,0.6624632504490015,0.7917193576800106
60,500,5,0.1,log2,0.6815379878897287,0.7939236400936726
61,500,4,0.2,sqrt,0.6779127041065905,0.7951423426265579
62,200,7,0.05,0.25,0.6859625823216499,0.7963572261443509
63,300,7,0.2,1,0.6249433790957024,0.7984128761197045
64,300,4,0.2,0.5,0.7002887462017798,0.8026645946689605
65,500,4,0.2,log2,0.7005727300501012,0.8035554139188358
66,300,10,0.01,sqrt,0.670031781978948,0.8055230900934574
67,200,5,0.2,sqrt,0.7008444904656732,0.8061241036235695
68,200,7,0.05,sqrt,0.7047313498542777,0.8062285186919939
69,500,5,0.05,0.5,0.7209737861133276,0.8077399541917895
70,300,4,0.2,0.25,0.7154849332510889,0.8088779214311467
71,500,4,0.1,0.5,0.722685379642648,0.8095172678930398
72,500,5,0.05,0.25,0.7310560446720826,0.8134720536814216
73,500,4,0.1,0.25,0.7362084214535111,0.8153481967605849
74,300,5,0.1,sqrt,0.731434051485525,0.8154622700849234
75,200,10,0.05,1,0.6557769886101064,0.8157513919399697
76,200,7,0.2,1,0.6880906354137861,0.8238417864596047
77,500,3,0.2,0.5,0.7483639960532902,0.8249354319814487
78,500,5,0.05,sqrt,0.752647900055486,0.8254317371598587
79,200,4,0.2,0.5,0.7535406348916096,0.827335988814445
80,300,5,0.1,log2,0.7517367795008605,0.8283822609091214
81,500,4,0.1,sqrt,0.7606744843196783,0.8288024531561151
82,300,7,0.1,1,0.7224009276515858,0.830896746602773
83,200,5,0.1,0.25,0.7611410905452412,0.8314915946480717
84,500,3,0.2,0.25,0.763683295082416,0.8320361686098633
85,200,10,0.01,0.5,0.7159129741897408,0.8320927907900084
86,500,7,0.01,0.5,0.7595554161945955,0.8329396956678772
87,500,5,0.2,1,0.7397336713617695,0.8334314715213449
88,200,4,0.2,0.25,0.7655955694462426,0.8345090162303989
89,300,4,0.2,log2,0.765880543779262,0.8370359858774781
90,200,10,0.01,0.25,0.7307979141935822,0.8382229176751188
91,500,4,0.1,log2,0.778020827763681,0.8406500417712923
92,300,4,0.1,0.5,0.7849126817350313,0.8422141775823377
