rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
134,100,7,0.1,log2,1.0,0.5596758893333906,0.709378486244273
135,500,4,0.1,0.25,0.5,0.5686376330828335,0.709861336208198
136,200,5,0.1,0.5,1.0,0.5854488247209495,0.7100213230331367
137,200,10,0.05,1,0.5,0.5036010581384938,0.7116490981064003
138,100,10,0.1,1,1.0,0.4728824340089944,0.7125591301469458
139,500,4,0.1,sqrt,1.0,0.5964006362797042,0.7127466525987227
140,100,7,0.1,log2,0.75,0.5678610119340729,0.7143145168389874
141,200,5,0.1,0.25,1.0,0.5997794083241345,0.7146871002444738
142,500,5,0.05,sqrt,0.5,0.5925023497306967,0.7147461524440515
143,200,5,0.1,0.5,0.5,0.5879019469182041,0.7154924667754475
144,500,7,0.01,0.5,0.75,0.5966190136440668,0.7157165987015321
145,500,5,0.05,log2,1.0,0.603617090214011,0.7160321384594126
146,500,7,0.05,1,1.0,0.5609425312278995,0.7167396879105281
147,500,5,0.05,log2,0.75,0.6031659139353377,0.7168141606683157
148,100,10,0.1,1,0.75,0.4869500487821715,0.7182439798684026
149,100,7,0.05,0.5,0.75,0.5983663346381685,0.7192286742397535
150,500,4,0.1,log2,0.75,0.6125117212808427,0.7206299203157078
151,500,4,0.1,log2,1.0,0.6109442860953471,0.7211918479788583
152,500,7,0.05,1,0.75,0.5688502247048293,0.7212872017666844
153,500,4,0.1,sqrt,0.5,0.6002514992565735,0.7213549781303332
154,200,10,0.01,0.5,1.0,0.5546129708081493,0.7221679882450582
155,100,7,0.05,0.25,1.0,0.6060282978206076,0.722742732241704
156,500,7,0.01,0.5,0.5,0.6114335536771233,0.7248164498312779
157,200,5,0.1,sqrt,1.0,0.6222391065369527,0.7250700677956414
158,200,10,0.01,0.25,1.0,0.5648692268381845,0.725264729202518
159,200,10,0.01,0.5,0.75,0.5681607695477893,0.7271942768823004
160,100,7,0.1,log2,0.5,0.5904217023390599,0.7274592208042523
161,100,10,0.1,1,0.5,0.5123400139621419,0.7282032465108537
162,200,5,0.1,sqrt,0.75,0.6236977824994371,0.7289831214436924
163,200,10,0.01,0.25,0.75,0.5762671109268461,0.7301787142480208
164,500,4,0.05,0.5,0.75,0.6390441801060477,0.732563137686819
165,500,4,0.05,0.5,0.5,0.6418284022623832,0.7356352759202429
166,200,5,0.1,log2,1.0,0.639067678700629,0.7356667953756263
167,200,5,0.1,sqrt,0.5,0.6333720472260455,0.7365401765038345
168,500,4,0.05,0.5,1.0,0.6500829464123593,0.7376068596130902
169,200,10,0.01,0.5,0.5,0.5926545969634018,0.7376919364008071
170,100,7,0.05,sqrt,1.0,0.6385945335781218,0.7386060145756708
171,500,7,0.01,sqrt,1.0,0.6400092906330317,0.7388806595834531
172,500,4,0.05,0.25,1.0,0.6603539891515857,0.7398334496524002
173,500,4,0.05,0.25,0.5,0.6548410967519646,0.741085717688635
174,200,7,0.1,1,1.0,0.6078602822349479,0.7426027982555938
175,200,10,0.01,sqrt,1.0,0.5952814888526066,0.7427305426040529
176,500,7,0.01,sqrt,0.75,0.6455779748140802,0.7430504801483291
177,200,7,0.1,1,0.75,0.611961329135759,0.7456503218956988
178,200,5,0.1,log2,0.5,0.6516676926454916,0.7458251282859936
179,100,7,0.05,sqrt,0.75,0.647406486313711,0.7465622945898505
180,500,3,0.1,0.5,1.0,0.6666619759802718,0.7468775433665049
181,500,5,0.1,1,1.0,0.6439135510867848,0.7471900020998907
182,500,3,0.1,0.5,0.5,0.6620013364484623,0.7477235441016665
183,200,10,0.01,sqrt,0.75,0.6069037056620277,0.748562244057045
184,500,7,0.01,sqrt,0.5,0.6562554064078746,0.7492653157839189
185,200,5,0.05,0.5,0.75,0.6708123689786697,0.7497075915522633
186,500,4,0.05,sqrt,1.0,0.6833134405458352,0.7536679318925411
187,100,7,0.05,sqrt,0.5,0.6592013343111544,0.7536966856465114
188,500,5,0.1,1,0.75,0.6502844449221725,0.753878031121651
189,200,4,0.1,0.5,1.0,0.6774690664728378,0.7539684973862012
190,500,7,0.01,log2,1.0,0.6621251105140975,0.7542604490708869
191,200,4,0.1,0.5,0.5,0.6757228833266476,0.7545441848003728
192,500,4,0.05,sqrt,0.75,0.6823426017953443,0.7551733727087794
193,500,7,0.01,log2,0.75,0.6649774484766694,0.7560273660921127
