rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
503,200,10,0.01,sqrt,0.75,0.27423531346148533,0.6156168984772769
504,200,3,0.1,log2,0.75,0.4100209376294895,0.6156231223763698
505,500,4,0.01,1.0,0.75,0.42698052396391273,0.6158280961717829
506,500,5,0.01,log2,0.75,0.41112911784521516,0.6159174857560994
507,300,3,0.05,log2,1.0,0.4448997210528802,0.6162430351140055
508,500,5,0.01,sqrt,0.5,0.4123896704545643,0.616395771523383
509,200,3,0.05,0.5,0.75,0.4463527238076635,0.6186599169337692
510,200,3,0.05,1.0,0.5,0.44631245815512394,0.618903643546587
511,200,10,0.01,1.0,0.5,0.3144940240640821,0.618939455176164
512,500,4,0.01,1.0,0.5,0.44339120990916325,0.6190716193027301
513,500,4,0.01,0.5,0.75,0.438574543538553,0.6198332168847517
514,300,7,0.01,log2,0.5,0.377244092926825,0.6203358197135797
515,200,3,0.1,log2,0.5,0.422631514960491,0.6203930781409017
516,500,4,0.01,0.5,1.0,0.4363092952416913,0.6205062063657676
517,200,4,0.05,log2,0.5,0.41782747024213684,0.6208114947430893
518,200,10,0.01,0.25,0.5,0.3234442224380332,0.6212393606368299
519,200,10,0.01,log2,0.75,0.28814217302577527,0.6215706647569311
520,200,3,0.05,0.5,0.5,0.4583463994999319,0.6218127330455668
521,300,5,0.01,1.0,0.75,0.41402863733775114,0.6219624091857462
522,500,4,0.01,0.5,0.5,0.4547493589517497,0.6225483938350251
523,500,4,0.01,1.0,1.0,0.4284096399423825,0.6228314830769017
524,200,3,0.05,0.25,1.0,0.4625545044767506,0.6228390209344385
525,500,5,0.01,log2,0.5,0.43243243513018226,0.6229730768512263
526,200,3,0.05,1.0,1.0,0.44545819483825977,0.6234486326474479
527,200,10,0.01,sqrt,0.5,0.3390906829997091,0.6234978663168057
528,200,3,0.05,0.5,1.0,0.4523463931992331,0.6241046483222027
529,300,3,0.05,log2,0.5,0.4559811999259725,0.6245122999244233
530,200,7,0.01,0.5,1.0,0.34608427481950343,0.624685252012439
531,500,4,0.01,0.25,1.0,0.4500930119824979,0.6248081871468738
532,200,3,0.05,0.25,0.5,0.47090339417225857,0.6248203810062076
533,300,5,0.01,0.5,0.75,0.4271453097699168,0.624939882904013
534,500,4,0.01,0.25,0.75,0.4549223108800493,0.6254420285979196
535,200,3,0.05,0.25,0.75,0.46230089965314486,0.6261918429178571
536,200,7,0.01,1.0,0.75,0.3601800198414112,0.6264750584039764
537,200,7,0.01,0.25,1.0,0.36010941440756455,0.6267523823713063
538,300,5,0.01,1.0,0.5,0.4393512001576137,0.6267764985974158
539,300,5,0.01,0.5,1.0,0.4133592436635199,0.6274914894273421
540,200,7,0.01,0.5,0.75,0.3704635507303745,0.6279308421071695
541,200,3,0.05,sqrt,0.75,0.4857013123576049,0.6292835244134954
542,200,3,0.05,sqrt,1.0,0.48282688468595364,0.6294667918861502
543,200,10,0.01,log2,0.5,0.3513011962470417,0.6297749578520908
544,500,4,0.01,0.25,0.5,0.46969490810391273,0.6299085155841568
545,300,5,0.01,0.25,1.0,0.43059786639854103,0.6302549614418074
546,300,5,0.01,0.25,0.75,0.4429295707957995,0.6315827040244617
547,300,5,0.01,0.5,0.5,0.45116333156745825,0.631997778143734
548,200,7,0.01,0.25,0.75,0.38556347737391894,0.6320490240064164
549,200,3,0.05,sqrt,0.5,0.4948990630665019,0.6332902448917707
550,500,10,0.01,1.0,1.0,0.031048659496252188,0.6344048141057586
551,200,3,0.05,log2,0.75,0.5032328428729949,0.6345377624772572
552,500,4,0.01,sqrt,1.0,0.4760096404188235,0.6345667581488954
553,500,4,0.01,sqrt,0.75,0.48371393393811296,0.6346570696529852
554,200,7,0.01,1.0,0.5,0.40728277412767483,0.634775963583097
555,200,7,0.01,0.5,0.5,0.41649068004580436,0.635100961953465
556,500,10,0.05,1.0,1.0,0.012262953666227067,0.6351661398967466
557,300,10,0.05,1.0,1.0,0.012482536147106846,0.6352024728815447
558,200,10,0.05,1.0,1.0,0.013785786407511344,0.6353408005918851
559,300,5,0.01,1.0,1.0,0.40625349993035914,0.6355622719983892
560,300,5,0.01,0.25,0.5,0.46598785888388145,0.6355899558754354
561,200,7,0.01,1.0,1.0,0.33988584986802667,0.6372780589213208
562,500,4,0.01,sqrt,0.5,0.49680713984012564,0.6386793521924925
563,200,3,0.05,log2,1.0,0.500740138713523,0.6392022817433536
564,200,7,0.01,sqrt,1.0,0.3934448989947303,0.6392378896517411
565,200,7,0.01,0.25,0.5,0.4284298256568583,0.6392856196912536
566,500,10,0.1,1.0,1.0,0.012254264251932314,0.6398537816475932
567,300,10,0.1,1.0,1.0,0.012255549503950932,0.6398576927105081
568,200,10,0.1,1.0,1.0,0.01228972531521545,0.6398729593644564
