rank_test_score,param_et__n_estimators,param_et__max_depth,param_et__min_samples_split,param_et__min_samples_leaf,param_et__max_features,train_rmse,test_rmse
63,300,,5,1,log2,0.16945399253686227,0.47586430440144784
64,500,,4,3,0.5,0.20339841129659894,0.47754583214251706
64,500,,2,3,0.5,0.2033984112965989,0.47754583214251706
64,500,,5,3,0.5,0.20339841129659894,0.47754583214251706
68,300,,5,3,0.5,0.2036659728471133,0.4784346045975101
68,300,,4,3,0.5,0.20366597284711332,0.4784346045975101
67,300,,2,3,0.5,0.2036659728471133,0.4784346045975101
70,200,,5,3,0.5,0.2040086613413492,0.47887480667097476
70,200,,4,3,0.5,0.2040086613413492,0.47887480667097476
70,200,,2,3,0.5,0.2040086613413492,0.47887480667097476
73,200,,8,2,0.25,0.21670951176602213,0.48058768788929007
74,500,,8,3,0.5,0.22506428746017923,0.48128319539105724
75,300,,8,2,0.25,0.21663444980773142,0.48151976505763955
76,500,,8,2,0.25,0.21646029534917255,0.48154202818054076
77,300,,8,3,0.5,0.22498079865936418,0.48194917461006437
78,200,,8,3,0.5,0.2256491478592026,0.4827761175501243
79,500,,2,2,sqrt,0.20607831261836687,0.4837648777889786
80,500,,4,2,sqrt,0.20607831261836687,0.48376487778897864
81,300,,2,1,1,0.08139149980137583,0.48388568137319954
82,500,,2,1,1,0.08139149980137583,0.48414373507732456
83,300,,4,2,sqrt,0.2064610126662567,0.48427534016264445
84,300,,2,2,sqrt,0.2064610126662567,0.48427534016264456
85,200,,2,1,1,0.08139149980137583,0.48456974797700547
86,200,,4,2,sqrt,0.20641976963499034,0.4849966813507602
86,200,,2,2,sqrt,0.20641976963499037,0.4849966813507602
88,500,,8,1,sqrt,0.21928960747829238,0.4853919334849081
89,500,,2,3,0.25,0.2316667288733511,0.4855658580125404
89,500,,4,3,0.25,0.2316667288733511,0.4855658580125404
91,500,,5,3,0.25,0.23166672887335113,0.48556585801254043
92,500,,5,2,sqrt,0.22147640009654312,0.4859975895281506
93,200,,2,3,0.25,0.2324170472146575,0.4860765198768921
94,200,,4,3,0.25,0.2324170472146575,0.48607651987689215
94,200,,5,3,0.25,0.2324170472146575,0.48607651987689215
96,300,,5,3,0.25,0.2318746137685108,0.4864218615773636
96,300,,2,3,0.25,0.2318746137685108,0.4864218615773636
96,300,,4,3,0.25,0.23187461376851085,0.4864218615773636
99,300,,5,2,sqrt,0.22165956705502377,0.4865907147468754
100,300,,8,1,sqrt,0.21958376494803852,0.4867274186797984
101,200,,8,1,sqrt,0.21949713361126735,0.48689813210598415
102,200,,5,2,sqrt,0.2215818394744072,0.4869201896444035
103,300,,8,4,0.5,0.2579098539378448,0.48731241870389613
103,300,,5,4,0.5,0.2579098539378448,0.48731241870389613
103,300,,4,4,0.5,0.2579098539378448,0.48731241870389613
103,300,,2,4,0.5,0.2579098539378449,0.48731241870389613
107,500,,5,4,0.5,0.25774227927172916,0.4879264645493145
107,500,,8,4,0.5,0.25774227927172916,0.4879264645493145
109,500,,4,4,0.5,0.2577422792717291,0.48792646454931454
109,500,,2,4,0.5,0.25774227927172916,0.48792646454931454
111,200,,2,4,0.5,0.2581984390533718,0.48803523535677773
111,200,,8,4,0.5,0.25819843905337175,0.48803523535677773
111,200,,4,4,0.5,0.2581984390533718,0.48803523535677773
114,200,,5,4,0.5,0.2581984390533718,0.4880352353567778
115,500,,8,3,0.25,0.25311485515796034,0.4896760376233798
116,300,,8,3,0.25,0.253288258973796,0.48979205528962805
117,200,,8,3,0.25,0.25368007300812206,0.4910147705686099
118,300,,8,1,log2,0.24476900142543825,0.49306818683013254
119,500,,8,1,log2,0.24456356450908737,0.4932700526288615
120,200,,8,1,log2,0.24498175460089955,0.49332823570740775
121,300,,4,2,log2,0.24019497534207995,0.49419561676067164
121,300,,2,2,log2,0.24019497534207992,0.49419561676067164
123,200,,4,2,log2,0.24056689897814756,0.4943361701011446
123,200,,2,2,log2,0.24056689897814756,0.4943361701011446
125,500,,4,2,log2,0.24064420548870516,0.49453785481368545
125,500,,2,2,log2,0.24064420548870516,0.49453785481368545
127,200,,5,2,log2,0.2552140421609948,0.4972868013344617
128,500,,5,2,log2,0.25525424552103826,0.4984994338036294
129,500,,8,2,sqrt,0.2727960426590254,0.49852738291368903
130,200,,8,2,sqrt,0.2729414548561151,0.49873463197586176
131,300,,5,2,log2,0.25541850317609127,0.4987353163056458
132,300,,8,2,sqrt,0.27306471686913336,0.4993648422552471
133,300,,2,4,0.25,0.2908000484712064,0.4999787977469801
133,300,,8,4,0.25,0.2908000484712064,0.4999787977469801
133,300,,5,4,0.25,0.2908000484712064,0.4999787977469801
133,300,,4,4,0.25,0.2908000484712064,0.4999787977469801
137,200,10,2,1,0.5,0.2684645338934223,0.5002311077321652
138,500,,8,4,0.25,0.2902920157915773,0.5004430329480319
138,500,,2,4,0.25,0.2902920157915773,0.5004430329480319
138,500,,5,4,0.25,0.29029201579157726,0.5004430329480319
138,500,,4,4,0.25,0.29029201579157726,0.5004430329480319
142,500,10,2,1,0.5,0.26921573430828705,0.5009641301897885
144,200,,8,4,0.25,0.29106475597677856,0.5010063283740305
143,200,,4,4,0.25,0.29106475597677856,0.5010063283740305
144,200,,2,4,0.25,0.29106475597677856,0.5010063283740305
146,200,,5,4,0.25,0.29106475597677856,0.5010063283740306
147,300,10,2,1,0.5,0.2690328840572175,0.5010311432779293
148,200,10,4,1,0.5,0.27701558460009174,0.5013199516990781
149,300,10,5,1,0.5,0.2812719974133298,0.501459984271946
150,500,10,5,1,0.5,0.28127288278292906,0.5017224897329396
151,200,10,5,1,0.5,0.28121235560150687,0.5017346698889463
152,500,10,4,1,0.5,0.2761873484563761,0.5017550903184895
153,300,10,4,1,0.5,0.2770322491385448,0.5021338054102346
154,300,10,4,2,0.5,0.2879897511020168,0.5025744235560214
154,300,10,2,2,0.5,0.2879897511020168,0.5025744235560214
156,500,10,2,2,0.5,0.28782819116563624,0.5026814116981579
156,500,10,4,2,0.5,0.28782819116563624,0.5026814116981579
158,200,10,4,2,0.5,0.28834298302892286,0.5042603672766429
159,200,10,2,2,0.5,0.2883429830289228,0.5042603672766429
160,500,10,5,2,0.5,0.29308382500555374,0.5042804386799018
161,200,10,5,2,0.5,0.2932108900458133,0.5043746000060523
162,300,10,5,2,0.5,0.2933675367734259,0.5044902041286499
163,500,,4,1,1,0.21144549502307178,0.5047258566425071
164,200,,4,1,1,0.2122340278062869,0.5051016995135817
165,300,,4,1,1,0.2119589324001944,0.5051216719287825
166,300,10,8,1,0.5,0.3005123970031133,0.5075000667165652
167,500,10,8,1,0.5,0.30019117441975784,0.5076317559532484
168,200,10,8,1,0.5,0.3014085577493446,0.5080200941577492
169,200,,2,3,sqrt,0.30008104761101234,0.508395658863344
169,200,,5,3,sqrt,0.30008104761101234,0.508395658863344
169,200,,4,3,sqrt,0.30008104761101234,0.508395658863344
172,200,10,5,3,0.5,0.3119907405361816,0.5084667005530962
173,200,10,4,3,0.5,0.31199074053618164,0.5084667005530963
173,200,10,2,3,0.5,0.3119907405361816,0.5084667005530963
175,500,,2,3,sqrt,0.29979945526473517,0.5085448895349528
177,500,,4,3,sqrt,0.29979945526473517,0.5085448895349528
175,500,,5,3,sqrt,0.29979945526473517,0.5085448895349528
178,300,10,5,3,0.5,0.31246323632058476,0.5086774141465586
179,300,10,4,3,0.5,0.31246323632058476,0.5086774141465586
179,300,10,2,3,0.5,0.31246323632058476,0.5086774141465586
181,500,10,4,3,0.5,0.31258415779517545,0.5088558827392375
181,500,10,5,3,0.5,0.3125841577951754,0.5088558827392375
