composition,band_gap
C2Cl2H10N4O8S2,3.0297
Cl4H12O20,5.2852
H12N4,4.2673250000000005
F4H12O16S4,5.4883
C4F4H12O8,5.4466
C4H12O12,3.29365
C4H12N20O16,2.9057
Br4C4Cl4F4H12,2.694
C4Cl4H12O4S4,2.637
C4Cl8H12N4O8S4,2.6397
C4H12O2Se2,3.8509
H12N12Pb4S8,1.8888
H12N10O8Pd1,2.5792
H12N16Pd2,0.1621
Cl3H12N5O1Os1,2.7493
H14N4O8S2,5.1783
H14I2O20S2,2.4074
C4H14N14O12,2.1319
C6H14N6O10,4.7718
Cl4H16N4O4,3.77625
Cl4H16N4O16,5.248
H16N16,4.039280000000001
Br4H16N4O16,3.05
H16I12N4,1.8061
H16S8,3.5612666666666666
H16N4S16,0.2757
H16N16S16,3.3049
H16N4O8Se2,3.606
C2H16N8O8S2,5.1225
C4Cl2H16N2,5.3927
C4H16N12O14,2.3744
C4H16N16O8,1.9824
Br2C4H16N2,4.7038
C4H16I2N2,4.338150000000001
C4H16N8S4,3.748466666666667
C4H16N8O8S4,2.9651666666666667
C4H16N12O12S4,3.4376
C6H16N8O10S6,3.4748
C8H16N16,4.6599
C8H16N16O16,2.3542
C16H16N16,3.5924
Au2C4Cl2H16N8S4,3.5096
Au2Br2C4H16N8S4,3.3835
H16I12N4Pb4,0.9161
Cl6H16N5O3Rh1,2.5829
Cl4H16N4O4Pt2,2.3026
C6Cl6H16O14Ru3,1.5108
C4Cl6H16N2Pd2,2.2149
H18N10O12S6,4.9525
C2Cl2H18N12,4.9262
C2H18N18,1.9948
Br2C6H18N4S4,3.3787
C6Cl2H18N4S2Se2,3.4539
Cl6H18N6Rh2,3.4003
C10H18N2O10Rh2,2.9343
Cl4H20O8,5.2001
H20N4O8,3.3689
Cl4H20N8O16,5.388
H20N12O12,3.22315
Br4H20O8,4.3572
Br4H20N4O4,3.5205
H20I4O24,2.3263
H20O16S2,5.5002
C3H20N4O10,4.7879
C4H20N4O10,3.38606
C4H20N12O16,3.5171
C6Cl2H20N2O8,5.59405
Br2C6H20N2,4.7463
C6H20I2N2,4.3326
C8Cl4H20O4,5.2084
C8H20N4O16,3.1649
C8H20N12S8,1.4902
C8H22N2O20,3.3682
H24O12,5.507733333333334
F4H24N4O8,3.4724
Cl8H24N8,2.7777
H24N8O16S4,4.322299999999999
H24N8O24S8,5.283275
C4Cl4H24N4O4,5.3264
C4H24N8O8,4.8088
C4Cl4H24N12O4,5.19855
C4H24N16O4,4.98095
C4H24N28O2,1.9641
C4H24N16S4,3.4225
C4H24N8S8,2.61825
C8H24N4O4,2.5937
C8H24N16O4,4.6273
C8H24I2N2,4.1956
C8F4H24I2N2O4,4.5025
Br8C8H24S4,2.4782
Br8C8H24N8S4,2.5775
C8H24S8,3.7006
C8H24O24S8,4.0036
C8H24N4O4Se2,3.3082
C8H24Se8,1.9872
C10H24N4O2,4.6254
C12H24N16O12,4.3607
C12F12H24N12O8S4,2.1958
Au2C8H24N2,2.9299
Au4C12H24N4S4,3.2868
C12H24N12O16Pt2,2.6658
C8F2H24N2O8Os2,2.5624
C4Cl4F2H26O16,1.1168
C6Cl4H26N6O2Pt2,2.8367
Cl4H26N10O4Ru2,2.303
H28N4O24,3.5736
F4H28N8,4.8753
C4H28N12O12,3.3803
C6Cl10H28N2,5.7164
H28N8O12Ru2S4,3.2619
C12H30N6O6,4.9518
H32N16O24,3.25405
H32N8O16S4,5.08
H32N8S20,2.155
C8H32N8O12,3.4509
Br4C8H32N4,4.7066
C8H32I12N4,1.9718
C4H36N28O12,3.1552
C8H36N12O12,3.4403
C12H36N12O8,4.8697
C16H36N4Se8,3.5357
C12H36I4Pb4,3.1294
F8H40N16,5.4503
H40N16O16S4,5.129
H40O32Se4,3.9617
C8H40N8O24,5.1584
C8Cl8H40N16S8,4.3363
C12Cl4H40N4O4,5.3205
C12H40N4S12,1.7516
C8Cl8H40N8Pt4,3.0963
C12Cl6H42N4,5.307
Br8C16H44N4,3.9373
C16H48I4N4O12,3.9603
C16H48N4O8S2,3.8867
Au8Br8H48N16,3.6495
C16Cl8H48N4Pd2,2.444
Cl4H52O24,5.2321
Cl17P1W6,0.3255
F10H1P1Pb2,5.4536
F6O2P2,5.7782
F4N2P2,5.6226
Cl12I2P2,1.7635
I4P2,1.9243
I6P2,2.2464
C4Cl8N6P2,3.7813
Au2P2S8,1.2119
Cl22P2W8,0.6173
O8P2Pb3,3.3281
P2Pd3S8,1.82915
H2N4O18P2Pb4,3.333
Br2H8P2,4.0279
H8I2P2,3.6838
H12N2O4P2,5.0703
H12N2O8P2,5.410644444444445
C2F12H12N6P2,5.1822
H16I2N8P2,2.7286
C2H18N8O8P2,5.0044
C4H18N8O8P2S2,3.286
C4F2H24N12O6P2,4.9097
C12H36N6O2P2,3.9102
N5P3,2.60475
Br1Cl14P3,1.5631
H1O10P3Pb2,4.2972
P4,0.1960181818181818
O10P4,4.2704
Cl12P4,4.04425
Cl12O4P4,4.5571
Cl20P4,1.76275
Cl11N3P4,2.5647
F8N12O4P4,4.8268
N36O4P4,3.9306
Br12P4,3.2774
Br12O4P4,3.074
Br20P4,1.6282
Br28P4,1.2493
Cl32I4P4,1.6751
Cl8F8N12O8P4S8,4.7912
P4S14,1.9771
Cl36P4Se4,2.2848
C4F8N4O8P4,5.8972
Au4Cl4F12P4,3.7832
Au4Cl16P4,2.8056
Au4Cl32P4,1.7781
O16P4W2,2.0778
O22P4W4,2.4707
F36P4Pb2Xe6,2.5022
P4Pb4S12,1.3140500000000002
P4Pb4Se12,1.6299
O16P4Pb6,3.5106500000000005
O26P4Pb16,2.0464
P4Rh4Se4,1.1241
F12P4Pt1,4.9912
P4Ru2,0.46272
P4Ru4S4,0.667
P4Ru4Se4,0.33135
O12P4Pd2,0.5815
O14P4Pd4,1.8461
Os2P4,0.91906
Os4P4S4,1.0484
Os4P4Se4,0.6459
Ir4P4Se4,1.5084
F8H4P4,3.7999
F8H4P4S4,4.6554
F8H8N4P4,4.81
H8O8P4Pb2,3.882
