composition,band_gap
As8P8S28,2.6841
As4Pb2Xe6F36,2.5938
As4Pb28Cl8O34,2.0997
As8Pb8O20,2.936
As4Pb6O16,3.3141
As4Pb16O26,2.0725
As8Pb4O16,2.846199999999999
As2Pb1O6,2.1358
As8Pt4,0.0785
As8Rh4,0.2625
As4Ru2,0.4492
As8S8O36,4.1255
As8S12,1.9873
As4S2O12,4.417199999999999
As8Se12,1.4466
As3H5O10,3.066599999999999
As12H4O24,3.6721
As12Ir4,0.026799999999999
As6Pb4Br2O12,3.2587
As12Pb8Cl4O24,3.4974
As6Pb10Br2O24,2.9898
As12Pb20Cl4O48,3.271899999999999
As6Pb10Cl2O18,2.6399
As6Pb10O24F2,3.296399999999999
As2Au2O8,1.8671
As4Br12,3.1271
As4Br4O4F32,3.1609
As4Cl8F12,2.8871
As4Cl12,3.9873
As4Cl12O4,2.5284
As2Cl2F16,3.3906
As4Cl4O4F32,2.8596
As4F12,5.359999999999999
As2F10,4.6002
As4H72N12O28,4.1734
As2H6O2F12,4.8445
As2H2Pb2O8,3.1155
As2I6,2.2375
As2I10F12,1.4099
As4I4F48,0.649
As4Ir4S4,1.863
As4Ir4Se4,1.4699
As4Kr4F28,2.4978
As1N1O2F6,2.7442
As5N10F35,3.5121
As4Os4S4,1.1795
As4Os4Se4,1.0029
As4P4O16,4.5760000000000005
As4P4O20,2.0204
As2Pb2F14,4.0652
As4Rh4S4,1.2237
As4Rh4Se4,0.9137
As4Ru4S4,0.9146
As16S16,1.9674
As4S4Br12F24,2.5087
As4S4Cl12F24,3.7948
As4S4I8F24,1.1714
As16Se16,1.367999999999999
As4Se4Br12F24,2.5724
As4Se4Cl12F24,3.7178
As4Se4I12F24,1.4197
As4Se12Cl12F24,1.9559
As2Se12I2F12,1.577
As4Se4I4,1.2345
As6Xe12F54,1.596099999999999
As4Xe4F44,2.0307
As4Xe4F28,2.8699
Au1O2F6,0.1855
Au4O6,0.8689999999999991
Au4S2,1.9091
Au4Se6O20,0.9414
Au4Se8O22,1.4326
Au6F16,0.5426
Au4Br4,1.6885
Au8Br24,0.8891
Au2Br2F12,1.9482
Au4Cl4,1.674399999999999
Au4Cl8,0.897899999999999
Au4Cl12,1.3606
Au6Cl6O6,0.9762
Au6F18,1.5542
Au8F40,0.7042
Au4I4,2.0942
Au4S12O36F12,1.4998
Au4S4Cl20,1.7772
Au4S4Cl28,1.8191
Au8S8O32,1.600699999999999
Au2Se2,0.262799999999999
Au8Se8Br8,0.6302999999999991
Au4Se4Cl28,1.7274
Au4Se4Cl4O12,1.3674
Au4Xe8F68,1.3385
B10Pb6O21,3.259
B40H44C8,5.749499999999999
B40H52I4,2.5463
B40H56S4,2.5518
B44H40S4I4,3.4062
B4Mo2Pb12O24,2.4454
B16Pb16S40,1.7364000000000002
B8Pb16O28,2.454499999999999
B8Pb24S4O48,2.9511000000000003
B100S150,2.526399999999999
B8Se8O28,3.941799999999999
B8Se12O40,3.738
B12H16N4O20,5.5239
B6Pb20Br6O26,2.435399999999999
B12Pb12N4O40,3.0129
B12Pb24Br4O40,2.8245
B12Pb24Cl4O40,2.9337
B12C3,3.0415
B8Pb2O14,4.208499999999999
B10H24N2O24,5.760400000000001
B40H32N8O64,5.7298
B40H40C8I8,4.2014
B40H48Br8,3.0427
B40H56,3.606099999999999
B20Pb8Br4O36,3.4116
B20Pb8Cl4O36,3.4978
B20Pb8I4O36,3.3111
B12As2,2.6454
B12H20N2,5.6566
B12O2,1.856399999999999
B12P2,2.4757
B32H16Pb4O60,4.763299999999999
B72H88,2.9653
B18Pb16O42F2,3.4333
B1As5Pb6O20,2.9414
B1As1O4,4.2615
B2Br6,3.8273
B2Cl2O4F8,1.9592
B2Cl6,4.7135
B4Cl4F24,3.3471
B2H2Pb4O8,3.0854
B8H8S24O88,5.696299999999999
B2I6,2.6901
B2N2,4.3683
B4N4O8F16,3.002199999999999
B4N4F32,2.9979
B1P1,1.243499999999999
B4P4I12Br12,1.9673
B4P4Pb16O32,3.000499999999999
B4P4Br24,2.7247
B3P3Pb3O15,4.2593
B1P1S4,2.276
B6Pb12O18F6,3.1984
B4Pb28Br12O28,1.9254
B16S32,2.5677
B12S12Br12,3.683499999999999
B4S4F28,4.9968
B2Sb2Pb2S8,2.1522
B8Se16,1.771199999999999
B2Te6O6F30,3.7899
Ba4Ag24O16,0.9577999999999992
Ba4Ag8Te8,0.673299999999999
Ba2Al4Cl16,5.3891
Ba12Al24S48,3.6551
Ba2Al4Se8,3.0544
Ba2Al4Te8,1.5444
Ba2As12Pt8,0.1901
Ba2As4O12,2.7763
Ba2Au4F16,2.4882
Ba4Au8F48,1.515899999999999
Ba2Au4O8,1.1785
Ba2B24H24,5.8133
Ba4B8H32,5.6574
Ba6B12O24,4.5867
Ba2B4S8,2.7453000000000003
Ba2B4Se12,1.7096
Ba2Be4N4,1.178999999999999
Ba9Bi18S36,1.2751
Ba2Br4F16,3.2254
Ba2Br4O12,4.1953
Ba1Cd2As2,0.157599999999999
Ba1Cd2P2,0.6835999999999991
Ba2Cl4O16,5.4454
Ba2Cu4O4,1.386299999999999
Ba4Cu8S8,0.9028
Ba4Dy8S16,1.7407
Ba4Dy8Se16,1.3765
Ba4Dy8Te16,1.2938
Ba4Er8S16,1.721299999999999
Ba4Er8Se16,1.3665
Ba4Er8Te16,1.310799999999999
Ba8Fe16Br64,0.9257
Ba4Fe8O16,1.7417999999999991
Ba4Ga8As8,1.3062
Ba8Ga16O32,3.022
Ba4Ga8P8,1.427699999999999
Ba12Ga24S48,2.9088000000000003
Ba8Ga16Sb16,0.0277
Ba2Ga4Se8,1.8578
Ba1Ga2Te4,0.5291
Ba4Gd8Se16,1.225499999999999
Ba4Gd8Te16,0.7582000000000001
Ba4Ge8As8,0.028599999999999
Ba4Ge8P8,0.5134000000000001
Ba2H32O20,3.904
Ba8H16O16,4.577
Ba4Ho8S16,1.730699999999999
Ba4Ho8Te16,0.785
Ba2I4O12,3.543599999999999
Ba4In8P8,0.250899999999999
Ba8In16S32,2.2042
Ba8In16Se32,1.572
Ba2In4Te8,0.9642
Ba4Lu8S16,1.7477
Ba4Lu8Se16,1.3795
Ba4Lu8Te16,0.7892999999999991
Ba1Mg2As2,1.0689
Ba1Mg2Bi2,0.396799999999999
Ba1Mg2P2,1.1366
Ba1Mg2Sb2,0.8466
Ba12Mo24N48,0.0433
Ba4N8O24,3.6327
Ba12Nb24N48,2.1524
Ba4Nd8S16,1.6426
Ba2P8Au4,0.190999999999999
Ba12P24N48,3.9903
Ba4P8O24,5.6525
Ba2Pd4S8,0.7791999999999991
Ba1Sb2O6,2.8606
Ba8Sb16S32,1.5472
Ba8Sb16Se32,1.1026999999999991
Ba4Sc8Te16,0.5092999999999991
Ba1Si6N8,3.2602
Ba4Sm8S16,1.759
Ba4Sm8Se16,1.4344
Ba4Sm8Te16,0.7957000000000001
Ba12Ta24N48,2.658
Ba4Tb8S16,1.7379
Ba4Tb8Te16,1.2848
Ba4Tm8S16,1.7438999999999991
Ba4Tm8Se16,1.380399999999999
Ba4Tm8Te16,1.3203
Ba12V24N48,1.562399999999999
Ba4Y8S16,1.7564000000000002
Ba4Y8Se16,1.4872
Ba4Y8Te16,1.293499999999999
Ba4Zn8As8,0.2974
Ba10I1Br4N5,1.125899999999999
Ba10P6S1O24,3.1879
Ba13Si6Sn8As22,0.7270000000000001
Ba56Al4Sb44,0.7923999999999991
Ba30Zr28Se84,0.2641
Ba32Nb10N38,1.777
Ba16Re6O37,1.511199999999999
Ba17Sr1Sm12Cl68,0.006199999999999
Ba8In20As20,0.2213
Ba84Cd16Bi72,0.3222
Ba84Cd16Sb72,0.731399999999999
Ba6Al3Cu6F33,0.843399999999999
Ba8Al4H28,3.0237
Ba8Al4In4O20,2.0183
Ba8As8O28,3.335
Ba16As16S40,1.6148999999999991
Ba8As8Se20,1.155
Ba4As12O22,3.1926
Ba2As1Au1,0.5211
Ba4B22H14O44,5.657
Ba8B8O20,4.2362
Ba8B16Se52,1.332999999999999
Ba8B20Br4O36,5.3458
Ba8B20Cl4O36,5.2433
Ba8B20H4O40,4.787400000000001
Ba4B12Pb2O24,4.233700000000001
Ba24B12N24Cl12,2.7533000000000003
Ba4Bi4O10,2.012899999999999
Ba4Bi4Se6O4,1.419299999999999
Ba2Bi1Au1,0.422799999999999
Ba2Bi1Sb1O6,1.6958000000000002
Ba4Br4O2,3.2683
Ba2Br1N1,1.1377
Ba2Ca1B6O12,4.9616
Ba2Ca1B2O6,4.080500000000001
Ba4Ca2Pd6O12,1.4866
Ba16Ca8Mo8N32,2.412699999999999
Ba2Ca1Mo1O6,2.258
Ba2Ca1Se1O6,2.01
Ba2Ca1Te1O6,2.9976000000000003
Ba4Ca2U2O12,2.1948
Ba2Ca1W1O6,3.2912
Ba2Cd1B6O12,4.3316
Ba2Cd1B2O6,2.821899999999999
Ba4Cd2As4,0.390299999999999
Ba4Cd2Ge4O14,2.9166
Ba2Cd1Mo1O6,2.5376000000000003
Ba8Cd4S12,2.0892
Ba2Ce1Pa1O6,0.016199999999999
Ba2Ce1Pb1O6,2.3054
Ba2Ce1Pt1O6,1.420399999999999
Ba2Ce1Sn1O6,2.144399999999999
Ba8Co4Ge8O28,2.124
Ba8Co4O16,0.3179
Ba4Co2Si4O14,3.138099999999999
Ba8Cr4O16,1.9086999999999992
Ba8Cu4P24O72,1.1062
Ba2Cu1P2O8,0.258499999999999
Ba8Cu8O20,0.7110000000000001
Ba2Cu1Br1O2,2.307299999999999
Ba2Cu1Cl1O2,2.3029
Ba4Cu2F12,0.8501000000000001
Ba8Cu4I4O8,2.2608
Ba4Cu2Mo4F28,1.4195
Ba8Dy4Bi4O24,1.733099999999999
Ba8Dy4Cl28,4.8933
Ba2Dy1Nb1O6,2.8514
Ba2Dy1Pa1O6,3.462799999999999
Ba2Dy1Sb1O6,3.4688
Ba2Dy1Ta1O6,3.3837
Ba2Dy1U1O6,0.8682999999999991
Ba8Er4Cl28,4.9505
Ba2Er1Nb1O6,2.854199999999999
Ba2Er1Pa1O6,3.4587
Ba2Er1Ru1O6,0.0716
Ba2Er1Sb1O6,3.3776
Ba2Er1Ta1O6,3.393399999999999
Ba2Er1U1O6,0.8790000000000001
Ba2Eu1Mo1O6,0.0479
Ba4Fe2Mo2O12,0.9037
Ba8Fe4O16,1.9953999999999992
Ba8Ga8S20,2.8977
Ba8Ga4As4Se20,1.870299999999999
Ba8Ga4Bi4S20,2.391
Ba8Ga4Bi4Se20,1.7506
Ba16Ga8S32,1.8917
Ba8Ga4Sb4S20,2.396699999999999
Ba8Ga4Sb4Se20,1.806699999999999
Ba4Gd4Si8O26,0.122499999999999
Ba8Gd4Bi4O24,1.5940999999999992
Ba8Gd4Cl28,1.561499999999999
Ba2Gd1Mo1O6,0.9083
Ba2Gd1Nb1O6,2.71
Ba2Gd1Pa1O6,3.1597
