rank_test_score,param_ridge__alpha,param_nystroem__n_components,train_rmse,test_rmse
92,0.4,1200,0.4386490218735376,0.5602444893187042
93,0.7500000000000001,2200,0.4488617162205696,0.560733675433096
94,0.6000000000000001,1600,0.44607377522063485,0.5607874516778751
95,0.55,1400,0.44817149611615203,0.5615761502489757
96,0.7000000000000001,2000,0.4478769617991414,0.5615918128217713
97,0.2,800,0.4378030489538756,0.5616284128669331
98,0.6500000000000001,1800,0.4474782594046677,0.5618419354185097
99,0.35000000000000003,1000,0.44308319116308603,0.5618504018908955
100,0.8,2400,0.45095873778957096,0.5618869583257724
101,0.45,1200,0.44551176300783957,0.5631169709163293
102,0.8,2200,0.4540064557872461,0.5632529850649325
103,0.6500000000000001,1600,0.45173016269765676,0.563477130932494
104,0.7500000000000001,2000,0.45317444715297933,0.564105281967375
105,0.6000000000000001,1400,0.4539269656143743,0.5642495502820601
106,0.8500000000000001,2400,0.45592991981329095,0.564331483501821
107,0.7000000000000001,1800,0.45292648739309405,0.5644630637623334
108,0.4,1000,0.4500368721152557,0.5646571103962721
109,0.25,800,0.4463923386798003,0.5647432930107572
110,0.05,600,0.44490829335487464,0.5651408842567639
111,0.8500000000000001,2200,0.45885583945102326,0.56565620342886
112,0.5,1200,0.4517800485618189,0.5658179674774527
113,0.7000000000000001,1600,0.4570128753698293,0.5660248523149792
114,0.8,2000,0.4581537764245916,0.566500069436478
115,0.9000000000000001,2400,0.46062752055586254,0.5666680547655502
116,0.1,600,0.4552842068119265,0.5667115599145184
117,0.6500000000000001,1400,0.4592822779012711,0.5667809263498598
118,0.7500000000000001,1800,0.4580320984356281,0.5669497850412155
119,0.45,1000,0.4563501903935742,0.5673073874269431
120,0.3,800,0.453917830163913,0.5676936958193592
121,0.9000000000000001,2200,0.4634419421734508,0.5679540923679655
122,0.55,1200,0.45755325805445346,0.5683675523283143
123,0.7500000000000001,1600,0.46196907784211877,0.5684457049002749
124,0.8500000000000001,2000,0.46285127267784093,0.5687876287828922
125,0.9500000000000001,2400,0.4650799530774654,0.568906281587302
126,0.7000000000000001,1400,0.46429096098952843,0.569185462182575
127,0.8,1800,0.4628361793446215,0.569316071701217
128,0.15000000000000002,600,0.4640133045478971,0.5693263455049492
129,0.5,1000,0.4621374871613831,0.5698160585005256
130,0.9500000000000001,2200,0.4677918555495452,0.5701560046836546
131,0.35000000000000003,800,0.4606325531976613,0.5704718053635969
132,0.8,1600,0.4666374017727143,0.5707525186342096
