rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,param_colsample_bytree,param_subsample,train_rmse,test_rmse
104,0.1,4,200,0.7,1.0,0.24289468389261226,0.592123367484889
105,0.2,4,500,0.7,0.7,0.04094887517257536,0.5922367853206821
106,0.2,4,200,1.0,0.7,0.12961175209502354,0.5924981727632539
107,0.01,10,500,0.7,1.0,0.061995914118821605,0.5925752790665157
108,0.1,10,500,0.5,1.0,0.012320157138571595,0.5926990323770722
109,0.1,10,200,0.5,1.0,0.01261841389089633,0.5927425215425308
110,0.2,4,200,0.7,0.7,0.13612227158953322,0.5928289504112922
111,0.2,7,500,0.5,1.0,0.01232904970218275,0.5929253753633263
112,0.2,7,200,0.5,1.0,0.014054484793561849,0.5929595765521227
113,0.2,3,500,0.5,1.0,0.11868333502148883,0.5931276953795298
114,0.01,7,500,1.0,1.0,0.17774493525237753,0.5933535386032109
115,0.2,5,500,1.0,0.7,0.01635714593841813,0.5938583384374977
116,0.1,10,500,0.5,0.5,0.012506428903608731,0.5939846939271979
117,0.2,4,200,0.5,0.7,0.14163749849360927,0.5940272352676388
118,0.2,5,200,1.0,0.7,0.05986663190811902,0.5941179117693369
119,0.2,4,200,0.5,1.0,0.13452898277898068,0.5943192179352345
120,0.2,4,500,1.0,0.7,0.038606362007550105,0.5946289683421442
121,0.1,10,200,0.5,0.5,0.024033003297025263,0.594723607425829
122,0.2,3,500,0.7,0.7,0.11870268188512054,0.5947570826691722
123,0.2,5,500,0.5,0.7,0.017294886736719178,0.5952356295612278
124,0.01,5,500,1.0,0.7,0.35278481909328846,0.5955639297288181
125,0.2,7,500,0.7,0.7,0.01254494100659046,0.5960431845077422
126,0.2,7,200,0.7,0.7,0.015804043265271964,0.5960982101948743
127,0.2,7,200,1.0,0.5,0.020953395442161023,0.59609869511044
128,0.2,10,200,1.0,0.5,0.012982320562820816,0.5961177063268697
129,0.2,7,500,1.0,0.5,0.012782535438683502,0.5961183857250175
130,0.2,10,500,1.0,0.5,0.01263415242983743,0.5961428014198813
131,0.2,5,200,0.5,0.7,0.06807979421301377,0.5963083894557619
132,0.1,3,200,1.0,0.7,0.3476923560598856,0.5963311022952638
133,0.2,3,500,1.0,0.7,0.11316478697631717,0.5967623256182727
134,0.2,10,200,0.5,1.0,0.012306598694025164,0.5969350895680191
135,0.2,10,500,0.5,1.0,0.012306598343142992,0.5969350896087054
136,0.2,3,200,0.7,0.7,0.25390526434956573,0.5974823726755716
137,0.2,5,200,0.7,0.7,0.06314460909130087,0.5975877844601191
138,0.2,5,500,0.7,0.7,0.016754835779513897,0.5976250421678491
139,0.2,7,500,1.0,1.0,0.012330417055617144,0.5977747906914853
140,0.2,7,200,1.0,1.0,0.013630018794499155,0.597837659906565
141,0.2,7,500,0.5,0.7,0.012557044644725178,0.5980186793391722
142,0.01,5,500,0.5,0.7,0.36695073130640143,0.5981458253491544
143,0.01,5,500,0.7,0.7,0.35871167069417537,0.5984535122906489
144,0.2,3,200,0.5,1.0,0.2560814348743804,0.5985317364076636
145,0.2,7,200,0.5,0.7,0.016691991298730204,0.5985533658086291
146,0.01,5,500,1.0,0.5,0.37817367159242793,0.5996180439887593
147,0.2,7,500,1.0,0.7,0.012537905534808737,0.5997361197565306
148,0.2,7,200,1.0,0.7,0.015897594805564325,0.5997962867275901
149,0.2,3,500,1.0,1.0,0.1079709175487317,0.6000609945788371
150,0.2,3,200,1.0,1.0,0.24422833920558834,0.6000932239124336
151,0.2,3,200,1.0,0.7,0.24618942503871663,0.6005860760175336
152,0.1,3,200,0.5,1.0,0.37091145647290225,0.6008860728503875
153,0.01,5,500,0.5,1.0,0.3528330470393409,0.6011228972317001
154,0.2,3,500,0.5,0.7,0.12419263110580755,0.6015232773401382
155,0.1,3,200,1.0,1.0,0.359297626868356,0.6016455851040751
156,0.2,3,500,1.0,0.5,0.13207698687046965,0.6017589406120877
157,0.2,4,500,0.7,0.5,0.05270200331266958,0.6019169465947647
158,0.2,4,500,1.0,0.5,0.04910865366431164,0.6020054639063936
159,0.2,4,500,0.5,0.5,0.05437172976083815,0.6021420602436475
160,0.2,3,200,1.0,0.5,0.26520133005399393,0.6025469470694641
161,0.2,4,200,0.7,0.5,0.15906554472446954,0.6028802368149523
